x_var,y_var,correlation,p_value,direction,method
TILTING,fatigue_13_response,-0.22917381077166415,0.017575510765761936,Negative,Spearman
ON_FOOT,feel_eat_1_response,0.19085165019660105,0.020151039258947838,Positive,Pearson
STILL,feel_sit_1_response,0.3258105204872806,3.317933722927445e-05,Positive,Spearman
MIMS_SUM_WEAR,int_eat_1_response,-0.23993629468259736,0.004160775177734968,Negative,Spearman
MIMS_SUM_WEAR,pain_0_response,-0.28985305517482385,0.001146336465290903,Negative,Spearman
ON_FOOT,sad_7_response,0.20146997769701291,0.02368470959024543,Positive,Spearman
MIMS_SUM_WEAR,int_exer_3_response,-0.1980996567427682,0.03628066964761827,Negative,Spearman
MIMS_SUM_WEAR,int_eat_1_response,-0.2720450537010429,0.0011009391870739804,Negative,Pearson
IN_VEHICLE,relax_10_response,-0.1949890982527095,0.02741026179635557,Negative,Pearson
TILTING,int_exer_3_response,0.20716573574265476,0.02840298830691293,Positive,Spearman
ON_FOOT,pain_0_response,0.24250747603607653,0.006881143162268148,Positive,Pearson
UNKNOWN,int_exer_3_response,0.35895317094244966,0.0001016843642410228,Positive,Pearson
SCREEN_ON_SECONDS,feel_exer_1_response,0.16769349838664394,0.030805968032016875,Positive,Pearson
UNKNOWN,hunger_0_response,0.2873285431914809,0.0037489835551163266,Positive,Spearman
STILL,activity_2_response,0.23778217133143523,0.00013435453580151795,Positive,Pearson
STILL,excite_14_response,0.25342626775525356,0.005224873118994817,Positive,Spearman
ON_FOOT,family_1_response,0.30141108219140755,0.000518257761912665,Positive,Spearman
STILL,feel_eat_1_response,0.27956879612475766,0.0005792647704619496,Positive,Spearman
TILTING,feel_eat_1_response,0.19725541949465344,0.016259927533039408,Positive,Spearman
STILL,feel_exer_1_response,0.15816400388429447,0.041827615628902484,Positive,Spearman
STILL,friend_1_response,0.3746769651405231,4.701098344717606e-05,Positive,Spearman
TILTING,stress_2_response,0.24728760318665197,0.014606891326754218,Positive,Pearson
UNKNOWN,feel_eat_1_response,0.20155995541240485,0.014027496559117454,Positive,Spearman
UNLOCK_EVENTS_NUM,frust_12_response,0.21091713132529988,0.04241834651118298,Positive,Pearson
STILL,int_eat_1_response,0.21047786869636406,0.012239329003247533,Positive,Spearman
STILL,sad_7_response,0.2651778718343332,0.002692146934524626,Positive,Pearson
STILL,int_exer_3_response,0.4367862465279705,1.4738125692115828e-06,Positive,Pearson
UNKNOWN,excite_14_response,0.3036773191612083,0.0007468066864747318,Positive,Spearman
MIMS_SUM_WEAR,happy_8_response,-0.17773524378806632,0.04068556755707433,Negative,Spearman
TILTING,excite_14_response,0.1993680157415526,0.02903042835633389,Positive,Spearman
TILTING,demands_1_response,-0.19470467939067693,0.018937040519585027,Negative,Pearson
UNKNOWN,pain_0_response,0.23751462267188903,0.008163438729593596,Positive,Pearson
ON_FOOT,feel_sit_1_response,0.17131183226897748,0.03249165304616962,Positive,Spearman
SCREEN_ON_SECONDS,excite_14_response,0.2712154306407671,0.0027328679168375372,Positive,Pearson
ON_BIKE,feel_exer_1_response,0.15892697780020004,0.0408375647488143,Positive,Pearson
UNKNOWN,feel_exer_1_response,0.23530058145068974,0.0022755470264016644,Positive,Pearson
SCREEN_ON_SECONDS,alone_0_response,0.3814128709113872,6.415921110298041e-06,Positive,Pearson
STILL,routine_0_response,0.16771488148231253,0.046824963468741175,Positive,Spearman
UNKNOWN,pain_0_response,0.17925768469068884,0.04727090405279826,Positive,Spearman
SCREEN_ON_SECONDS,feel_sit_1_response,0.22209347471865923,0.005327643645127082,Positive,Pearson
STILL,activity_0_response,0.24300345942945847,0.00010389790674657818,Positive,Spearman
MIMS_SUM_WEAR,sleep_0_response,-0.2986994482860961,0.01836328202130938,Negative,Spearman
SCREEN_ON_SECONDS,burden_1_response,0.20169080569173173,0.02352880620698617,Positive,Spearman
MIMS_SUM_WEAR,proc_4_response,-0.2044685221235268,0.025709907558786705,Negative,Pearson
STILL,friend_1_response,0.38996079877156453,2.1359542248268334e-05,Positive,Pearson
TILTING,feel_sit_1_response,0.22330519832176599,0.005076749620582431,Positive,Pearson
SCREEN_ON_SECONDS,int_eat_1_response,-0.1906139534665669,0.023569971742999195,Negative,Spearman
ON_BIKE,family_1_response,0.25331916091931117,0.003772925573016477,Positive,Pearson
ON_FOOT,feel_exer_1_response,0.1879241551300511,0.01532611818881049,Positive,Spearman
SCREEN_ON_SECONDS,energy_9_response,0.2731066529457541,0.0027695894908306455,Positive,Pearson
ON_FOOT,frust_12_response,0.23775646068273784,0.021742155070251373,Positive,Pearson
ON_FOOT,frust_12_response,0.26291461461529464,0.010892543882858305,Positive,Spearman
TILTING,alone_0_response,-0.40589889900930426,1.3750439453702076e-06,Negative,Spearman
STILL,sleep_0_response,-0.2523694258566222,0.04782984035104584,Negative,Spearman
ON_FOOT,stress_2_response,0.26121818866327084,0.009755263723110391,Positive,Pearson
UNKNOWN,feel_sit_1_response,0.264743419418189,0.0008382428964822681,Positive,Pearson
SLEEP_MINUTES,fatigue_13_response,0.28023896234524037,0.0034602471163647855,Positive,Spearman
ON_FOOT,fatigue_13_response,-0.20407038599420546,0.03499922143601151,Negative,Spearman
STILL,feel_eat_1_response,0.36900226873720976,3.9314744305424214e-06,Positive,Pearson
SCREEN_ON_SECONDS,int_exer_3_response,0.27778788518588904,0.003022443433505124,Positive,Pearson
STILL,nervous_4_response,0.3276464118250667,0.00025920549060346447,Positive,Pearson
ON_FOOT,alone_0_response,-0.2823807470340235,0.0010363129268714988,Negative,Spearman
STILL,feel_sit_1_response,0.3227352227367329,3.972988138043229e-05,Positive,Pearson
SCREEN_ON_SECONDS,int_eat_1_response,-0.18622381281608352,0.02703728106183487,Negative,Pearson
IN_VEHICLE,alone_0_response,-0.4199241421762713,5.376403039004779e-07,Negative,Pearson
ON_BIKE,family_1_response,0.21580393975738396,0.014040751018206427,Positive,Spearman
UNKNOWN,stress_2_response,0.2562816037488067,0.011282388798009028,Positive,Spearman
STILL,stress_2_response,0.23030995481948488,0.023238823697497114,Positive,Pearson
UNKNOWN,proc_4_response,0.22419720573489435,0.014239048367361501,Positive,Spearman
SCREEN_ON_SECONDS,pain_0_response,0.20036819834381978,0.026277468843283743,Positive,Pearson
ON_FOOT,family_1_response,0.2687983104904956,0.0020690296868252278,Positive,Pearson
STILL,pain_0_response,0.4725102353654336,3.4291614957467643e-08,Positive,Pearson
TILTING,stress_2_response,0.28860710818776575,0.0041455021854675525,Positive,Spearman
ON_FOOT,feel_exer_1_response,0.19651470880080646,0.011162303469142586,Positive,Pearson
UNKNOWN,family_1_response,0.21829749465821283,0.0129442093287065,Positive,Spearman
TILTING,int_exer_3_response,0.21194106232542637,0.02487357759971577,Positive,Pearson
SLEEP_MINUTES,fatigue_13_response,0.24939947975477436,0.009581456896882447,Positive,Pearson
STILL,hunger_0_response,0.4020511621739172,3.378353924727951e-05,Positive,Pearson
UNKNOWN,fatigue_13_response,-0.2090286274076282,0.0307152910518901,Negative,Spearman
MIMS_SUM_WEAR,feel_eat_1_response,-0.1784555124460635,0.030003258294482152,Negative,Pearson
STILL,tense_11_response,0.24496652461166282,0.003913136623993669,Positive,Pearson
UNLOCK_EVENTS_NUM,alone_0_response,-0.258817566097666,0.002730652366912509,Negative,Spearman
UNKNOWN,feel_eat_1_response,0.26646630951329914,0.00106182422790098,Positive,Pearson
ON_FOOT,feel_sit_1_response,0.16168286120494943,0.04375143734527085,Positive,Pearson
SCREEN_ON_SECONDS,family_1_response,-0.19200085561361646,0.029271720727205564,Negative,Spearman
MIMS_SUM_WEAR,proc_4_response,-0.19982936648014077,0.02933925030534162,Negative,Spearman
TILTING,family_1_response,0.3610743278025236,2.6244912511735385e-05,Positive,Spearman
SCREEN_ON_SECONDS,pain_0_response,0.2058681516828553,0.022347854369470697,Positive,Spearman
IN_VEHICLE,stress_2_response,0.24773638958384528,0.014422809486559465,Positive,Spearman
STILL,pain_0_response,0.48400175362626136,1.415572785563226e-08,Positive,Spearman
TILTING,feel_eat_1_response,0.19074223421874403,0.020223969894392332,Positive,Pearson
STILL,activity_0_response,0.21452353102969415,0.0006383886473957768,Positive,Pearson
ON_FOOT,stress_2_response,0.3724786398187128,0.00017191444897126824,Positive,Spearman
STILL,sleep_0_response,-0.27370708913720343,0.031349936609823485,Negative,Pearson
SCREEN_ON_SECONDS,family_1_response,-0.2269805435650084,0.009688154369747211,Negative,Pearson
ON_FOOT,pain_0_response,0.2425525030681871,0.0068704424668305075,Positive,Spearman
SCREEN_ON_SECONDS,activity_0_response,0.15254546714849532,0.015777905714586024,Positive,Pearson
TILTING,alone_0_response,-0.3597457564900556,2.269486425177088e-05,Negative,Pearson
SCREEN_ON_SECONDS,routine_0_response,0.3399431007971359,3.720642717528854e-05,Positive,Spearman
STILL,sad_7_response,0.32124148594257257,0.0002447472761965051,Positive,Spearman
TILTING,family_1_response,0.34824641349737717,5.251075087477009e-05,Positive,Pearson
IN_VEHICLE,family_1_response,0.4134254503151183,1.118404989667737e-06,Positive,Spearman
STILL,tense_11_response,0.21164389338498704,0.013038276556068576,Positive,Spearman
MIMS_SUM_WEAR,pain_0_response,-0.23137971385176243,0.010025002086177421,Negative,Pearson
TILTING,int_eat_1_response,0.18687618347335927,0.026495999577968863,Positive,Pearson
UNKNOWN,excite_14_response,0.29540310302664546,0.0010546515471242697,Positive,Pearson
SCREEN_ON_SECONDS,activity_0_response,0.2070885557652245,0.000988689830847387,Positive,Spearman
STILL,hunger_0_response,0.40158917574376846,3.456021073306417e-05,Positive,Spearman
IN_VEHICLE,relax_10_response,-0.1794995083032035,0.042623472429714135,Negative,Spearman
SCREEN_ON_SECONDS,burden_1_response,0.17968610512620428,0.044084401459579356,Positive,Pearson
UNKNOWN,sad_7_response,0.2130989457491684,0.01658519152065949,Positive,Spearman
STILL,proc_4_response,0.31636651381899744,0.00045626157345777705,Positive,Spearman
UNKNOWN,hunger_0_response,0.3153933276917066,0.0013921527875597902,Positive,Pearson
UNKNOWN,int_eat_1_response,0.23174665648913717,0.005690700425526573,Positive,Pearson
UNKNOWN,activity_2_response,0.12731886356292532,0.043037737468405356,Positive,Pearson
UNKNOWN,stress_2_response,0.28181002498657987,0.005166890288886578,Positive,Pearson
STILL,int_eat_1_response,0.25546436715647225,0.002232918089069393,Positive,Pearson
IN_VEHICLE,family_1_response,0.31929480898995144,0.00022582945224972913,Positive,Pearson
